Country,Year,GDP_Growth,Gov_Expenditure,Inflation,Unemployment,Investment_FDI,Real_Interest_Rate,Trade_Openness
ARG,2000,-0.78899893905691,13.7841913064131,34.2772237131003,15.0,3.66579059535379,-8.56602872006595,22.6224447777343
ARG,2001,-4.40883968258557,14.1562743129569,34.2772237131003,17.32,0.806164134759348,-8.56602872006595,21.8522554515453
ARG,2002,-10.8944848285903,12.235247296692,34.2772237131003,19.59,2.19895819502207,-8.56602872006595,41.7527243585642
ARG,2003,8.83704079576924,11.4380567929249,34.2772237131003,15.36,1.29481086883944,-8.56602872006595,40.6447480311085
ARG,2004,9.02957330068152,11.114636067696,34.2772237131003,13.522,2.5050175164097,-8.56602872006595,40.692646108947
ARG,2005,8.85165992013437,12.1418612359575,34.2772237131003,11.506,2.64935441452167,-8.56602872006595,40.5512709706238
ARG,2006,8.04715150043027,12.4294153726307,34.2772237131003,10.078,2.38106854489628,-8.56602872006595,40.4334798719151
ARG,2007,9.00765087504757,12.9893238963619,34.2772237131003,8.47,2.25129423568361,-8.56602872006595,40.945170618571
ARG,2008,4.05723310346406,13.6335132595631,34.2772237131003,7.837,2.68990096507093,-8.56602872006595,40.4026733790382
ARG,2009,-5.91852507634947,15.903896746884,34.2772237131003,8.645,1.20643922647566,-8.56602872006595,34.0571269054879
ARG,2010,10.1253981561002,15.1637178886417,34.2772237131003,7.714,2.67516171886535,-8.56602872006595,34.9710132635696
ARG,2011,6.00395169280579,15.6889565165983,34.2772237131003,7.18,2.04465997872008,-7.77340523607891,35.2061549999644
ARG,2012,-1.0264204544321,16.6454378106252,34.2772237131003,7.217,2.80667189982932,-6.74819555440485,30.5265423717108
ARG,2013,2.40532378079436,16.8062377968797,34.2772237131003,7.1,1.77920553648531,-5.48583918237902,29.3339290021037
ARG,2014,-2.51261532081394,16.9498757371062,34.2772237131003,7.268,0.962406650325519,-11.6006987702161,28.4067936452275
ARG,2015,2.73115982828944,18.098379759087,34.2772237131003,7.577,1.97713461784426,-1.31470878459506,22.4862260889792
ARG,2016,-2.08032784377811,17.6545781863509,34.2772237131003,8.088,0.584748941173009,-7.00603984304116,26.0938878488799
ARG,2017,2.81850297775918,17.6968939223042,34.2772237131003,8.347,1.78936504083806,0.45589283233048,25.2896011376779
ARG,2018,-2.61739646282038,15.8050971558947,34.2772237131003,9.22,2.23253157689253,4.56440909873512,30.7625359549926
ARG,2019,-2.00086100285785,16.4432415862976,53.5483043492339,9.843,1.48500687570697,12.1039696489828,32.6306150458499
ARG,2020,-9.9004848136464,16.8730073837365,42.0150947376509,11.461,1.26616924308721,-7.63517421630372,30.203698807416
ARG,2021,10.4418119882506,15.9158179423023,48.4093786255199,8.736,1.36838083162438,-11.8618379621172,33.078689567466
ARG,2022,6.02074537534855,15.7026090548718,72.430757531824,6.805,2.3984601182853,-9.81968419782898,31.5801792606256
ARG,2023,-1.85578803046339,16.3015627890885,133.488935594175,6.139,3.81190879856952,-17.2542810000346,26.6769512482215
BRA,2000,4.38794944745618,18.7678457444131,7.04414105947266,10.889,5.03391680528314,48.5047281998625,22.6397613567941
BRA,2001,1.38989640095637,19.3432950140464,6.84035902487523,10.649,4.14759377398385,45.6378187103224,26.936285022064
BRA,2002,3.05346185909312,19.8096623456372,8.45016437708331,10.641,3.25358061271527,48.3404374454115,27.6183574022309
BRA,2003,1.14082899824888,19.0774784933715,14.7149197228147,11.168,1.81340052439304,46.4473988425047,28.1403847231593
BRA,2004,5.75996463670954,18.4675839197143,6.59718509985963,10.072,2.71353166307823,43.7791527165785,29.6782524787535
BRA,2005,3.20213206130431,18.8900014184589,6.86953720898964,10.551,1.73389354602718,44.6351688571973,27.0867952043315
BRA,2006,3.96198871122617,19.0389169455913,4.18356812896909,9.692,1.753125703626,41.2403264943498,26.04169989179
BRA,2007,6.06987060678338,18.9429876162865,3.64127299102652,9.28,3.19082601308524,35.0225154458254,25.2926113755394
BRA,2008,5.09419544658736,18.8393928731749,5.67859390284168,8.268,2.99060946922903,35.3667577909041,27.257569417356
BRA,2009,-0.125812002161169,19.6506384023989,4.88803479876799,9.419,1.88848224095724,34.7920096363809,22.1059756060333
BRA,2010,7.52822581815364,19.0168578366064,5.03872690108075,8.42,3.73001288350945,29.1158055203632,22.772178113177
BRA,2011,3.97442307944702,18.669256936864,6.6364496221309,7.578,3.91518011405433,32.8334595030087,23.9344051758721
BRA,2012,1.92117598576537,18.5301032652535,5.40349914036997,7.251,3.75496285641218,26.5820905384107,25.1142736107398
BRA,2013,3.00482266944432,18.8924789951339,6.20431066640101,7.071,3.04150901624338,18.4988444156891,25.7859573274674
BRA,2014,0.503955740242247,19.1535387102127,6.32904015516139,6.755,3.57135266957477,22.4036724322518,24.6854058131291
BRA,2015,-3.54576339269425,19.7768199564016,9.02990102416136,8.538,3.59214931791344,33.8323439727974,26.95362593736
BRA,2016,-3.27591690782192,20.3792974264123,8.73914352329393,11.58,4.13737803865892,40.6983614262467,24.5336820777006
BRA,2017,1.32286905404399,20.1619046963757,3.44637335032669,12.792,3.33825981739039,41.7138078856955,24.3197343743057
BRA,2018,1.783666761634,19.8950877833541,3.66485028376729,12.329,4.07858821454947,33.1023342519639,28.8762033763866
BRA,2019,1.22077782360842,19.9835812871624,3.73297621216894,11.936,3.692673213156,31.9030727578921,28.8902578698964
BRA,2020,-3.2767587964736,20.135153015057,3.21176803803376,13.697,2.59263795310275,21.1971796692944,32.3020785437939
BRA,2021,4.76260437908608,18.5475883605677,8.30165975585673,13.158,2.77979084938159,15.0108849841429,37.6563307598082
BRA,2022,3.01669435393015,18.4022127200534,9.28010608956873,9.231,3.8680317970139,28.3960928177676,38.8160659763397
BRA,2023,3.24165532906981,19.042610794419,4.59356282283204,7.947,2.86383344298207,36.5544706219779,33.6662298301438
CAN,2000,5.13853918994158,19.1064161806335,2.71943995691976,6.829,9.1710242867151,2.77554569831958,82.7653578503214
CAN,2001,1.87509813099847,19.5093203790186,2.52512013979906,7.219,3.84192129292476,4.17315131923916,78.3442183943698
CAN,2002,2.99925533832644,19.7786860731732,2.25839440940855,7.665,3.21914228445942,2.91399114577346,75.7069052324349
CAN,2003,1.8063851195103,19.8961700554057,2.75856321360112,7.574,0.782966307441581,1.39251832873691,69.8399832953973
CAN,2004,3.09236381038156,19.4174699133429,1.85725871857256,7.185,0.141465790138583,0.715870358321611,70.1923674409029
CAN,2005,3.21045441502793,19.0757499551557,2.21355203439767,6.758,2.17814542268079,1.25995668688001,69.7585441602155
CAN,2006,2.63794375302722,19.2483783285358,2.00202539534161,6.484,4.87400358632515,3.15988490874975,68.0508003453151
CAN,2007,2.04990459443619,19.2505356033619,2.13838399266837,6.156,8.20055904886214,2.71610176779662,66.2834197482347
CAN,2008,0.995406371264522,19.7193918809639,2.37027067444299,6.284,4.51512624244061,0.704445590117791,67.023446571123
CAN,2009,-2.91508627059555,21.9645435702208,0.299466803009299,8.46,1.52412827089472,4.83317459873091,58.4742801830543
CAN,2010,3.09080633744851,21.4753801201883,1.77687154092627,8.178,1.83724977084563,-0.237868736928105,60.2079046752442
CAN,2011,3.1371944343876,21.1457595858567,2.91213508872351,7.637,2.13782226222103,-0.236919959474943,62.4984217100546
CAN,2012,1.75566133205234,21.057925851495,1.51567823124517,7.392,2.70017935331081,1.76101643007326,62.5957887432013
CAN,2013,2.32581356612762,20.704487090186,0.938291897815317,7.143,3.62983069806946,1.23807392530013,62.2315329073432
CAN,2014,2.87346675579731,20.2665398097849,1.90663590717861,7.023,3.55389980711924,1.03779404633544,64.3785976132125
CAN,2015,0.64997101491096,20.8778041482202,1.12524136094277,6.945,3.85389066466467,3.67453323922593,66.1648355844224
CAN,2016,1.03855091989323,21.0480194121553,1.42875954701085,7.038,2.23834791127678,1.96890699902506,65.3636199818813
CAN,2017,3.03383491841392,20.7032830276468,1.59688412852977,6.426,1.5375171282853,0.125617247961227,65.1009087910845
CAN,2018,2.74296341402246,20.6814141954507,2.26822567248103,5.837,2.46930986353956,0.125617247961227,66.59982627163
CAN,2019,1.90843193887251,20.6634514308635,1.94926902411593,5.69,2.80676080429286,0.125617247961227,66.1713422730605
CAN,2020,-5.03823342794087,22.7010770856854,0.716999632307827,9.657,1.75896848026439,0.125617247961227,61.1566883386797
CAN,2021,5.95052804984759,21.4119101053587,3.39519318527528,7.527,2.97618405526996,0.125617247961227,62.2468612630348
CAN,2022,4.69541985045903,20.2954241620472,6.80280115341613,5.279,2.30686661821278,0.125617247961227,66.9531620692051
CAN,2023,1.95308552199025,20.7162347510337,3.87900159788426,5.415,1.99841597173847,0.125617247961227,66.5745425015033
CHN,2000,8.57357328926101,16.9834545142268,0.347811226864587,3.26,3.43984725315719,3.66081179161702,39.0109424774998
CHN,2001,8.32404695347056,16.56557352932,0.719125609120114,3.8,3.47245235578959,3.57012659422974,38.0826469518334
CHN,2002,9.23604870383861,16.2233328656845,-0.731970902350244,4.24,3.56241418263928,4.63046407070193,42.1944423387413
CHN,2003,10.1138119025242,15.4631349581316,1.12760348729637,4.58,3.43849537731211,2.59456449839418,51.0774801301803
CHN,2004,10.1404291872206,14.7768955354751,3.82463743108159,4.49,3.43299015092913,-1.30997356284343,58.6403340408439
CHN,2005,11.4535130030645,14.9800297513263,1.77641407667571,4.52,4.49218509012467,1.76079869323097,61.3600749408237
CHN,2006,12.6752842281595,15.0329501874396,1.6494309945586,4.43,4.44499743873593,2.01992596667161,63.5695798621627
CHN,2007,14.1507710506103,14.8435861590045,4.81676767378834,4.35,4.33537500236917,-0.410439106694471,61.2664640006176
CHN,2008,9.66877608164454,14.7289171300496,5.92525137041092,4.59,3.67520717506325,-2.36239428334508,56.7111330003209
CHN,2009,9.40610014336416,14.9931908239159,-0.728165250932898,4.72,2.52538984334254,5.39966609090969,44.4197644331119
CHN,2010,10.5916903885704,14.837784222569,3.17532475269199,4.53,3.93541996731512,-1.05008587192501,49.8540722338977
CHN,2011,9.46205248298186,15.511543498627,5.55389892257493,4.55,3.65069190228423,-1.34736009365721,49.9458272253643
CHN,2012,7.8578201481217,15.9047696976095,2.61952432645541,4.58,2.78099138181613,3.51196421926532,47.4802130784317
CHN,2013,7.77842954757257,15.9462837052091,2.62105001748115,4.6,2.98598708261986,3.61856200335179,45.9160413795571
CHN,2014,7.46100735778161,15.8783188765672,1.92164162788521,4.63,2.51155883670463,4.45937542503393,44.0684564812532
CHN,2015,6.98162255562367,16.2578121496943,1.43702380935655,4.65,2.14957284731563,4.20973314897109,38.6971848362625
CHN,2016,6.7736886867727,16.4004661104345,2.00000182191943,4.56,1.52539470315394,2.82893835409996,36.177170692978
CHN,2017,6.89123916636191,16.501760892272,1.59313600071436,4.47,1.32468971748482,0.195831844025431,36.95085261586
CHN,2018,6.757806142324,16.8365384091475,2.07479039965576,4.31,1.66361992284408,0.853565072603339,36.8943843914718
CHN,2019,6.06737806333672,17.1510123948127,2.89923416358227,4.56,1.28549226847992,2.99400114142806,35.4544350281407
CHN,2020,2.33950385203023,17.6037978191606,2.41942189457782,5.0,1.68770756292082,3.79916555206627,34.337778473884
CHN,2021,8.57038414981781,16.3512045683208,0.981015135544882,4.55,1.8903454142588,-0.118282146188387,36.6428789643754
CHN,2022,3.13385438394069,16.6626986358672,1.97357555739051,4.98,1.03841365474349,2.36955382500776,37.512555678171
CHN,2023,5.41600334492955,17.1891419707315,0.234836828893051,4.67,0.280991103634816,4.88153902941754,36.7391496938394
GBR,2000,4.52438074810904,16.531026223819,1.18295624210408,5.558,9.81876940536536,4.94007778507734,52.3380212335903
GBR,2001,2.39102229602824,17.1528722984472,1.53234960272418,4.696,3.38678339988188,3.35276851534879,52.6342367336438
GBR,2002,1.70902736258567,18.0527955561731,1.52040245947455,5.037,5.01305498138785,1.87229360848,51.2361820991323
GBR,2003,3.21851612669614,18.7023862140416,1.37650038542013,4.807,1.74707721568844,1.28051509830497,50.0681187039704
GBR,2004,2.32601853325993,19.2946803773218,1.39039756680422,4.594,3.58303251413023,1.60543979164839,50.2885521756133
GBR,2005,2.7906547174688,19.4812894931691,2.0891364902507,4.884,9.90268786448172,1.73498971863596,52.5442740383211
GBR,2006,2.18982132415704,19.651439705564,2.4556616643929,5.472,7.4878491502754,1.51610423583348,56.7047791729812
GBR,2007,2.93091133582351,19.5086899838825,2.38656150773327,5.399,6.74831602886359,3.44659213990367,52.7493524964733
GBR,2008,-0.0494116727402769,20.1590670926597,3.52140856342539,5.748,8.60551599075423,1.32675740896323,56.4365501052604
GBR,2009,-4.58740819226323,21.7087286497093,1.96173173560109,7.683,0.598804602454409,-1.33576903136853,54.6537301085991
GBR,2010,2.26054460931586,21.3812762286342,2.49265472467065,7.973,2.67286674184503,-0.817511776035438,59.0511802227821
GBR,2011,0.851437739020326,20.8090086799266,3.8561124468282,8.195,1.00957357920277,-1.92821635664364,63.3240615708901
GBR,2012,1.52826034721852,20.6106378085018,2.5732347965453,8.279,1.71895853790766,-1.03179878401941,61.9688704472535
GBR,2013,1.71846961308464,19.9508460252019,2.29166666666659,7.752,1.94762104828418,-1.62209771601829,61.7195395154583
GBR,2014,3.16017351468152,19.6392020334218,1.45112016293279,6.398,1.90870445734316,-1.0787978449774,58.8210228333296
GBR,2015,2.14040560033371,19.3307524418884,0.36804684232536,5.552,1.53903424150931,-1.0787978449774,57.125044605439
GBR,2016,2.20652020635357,19.0213766769505,1.0084173681141,4.909,11.9998637298189,-1.0787978449774,59.8395315138259
GBR,2017,3.02322219840339,18.4687648708625,2.55775577557747,4.501,4.64443540147576,-1.0787978449774,63.1899245764158
GBR,2018,1.55133095078786,18.3195114661863,2.29283990345938,4.145,-0.864867036878713,-1.0787978449774,64.9097721959201
GBR,2019,1.25629899760824,18.8950896176188,1.73810460086513,3.657,0.688204352262878,-1.0787978449774,65.0035664177054
GBR,2020,-10.047896637362,22.3195997590271,0.989486703772491,4.472,5.77039185007421,-1.0787978449774,59.1598893030611
GBR,2021,8.5431118453255,21.8969522769662,2.51837109614213,4.864,3.20643815254935,-1.0787978449774,58.53838629291
GBR,2022,5.14970388522993,20.5575158594765,7.92204883147902,3.768,2.91635435189931,-1.0787978449774,69.1989264413981
GBR,2023,0.271650048355255,20.6153775719761,6.79396706793963,4.025,0.403116734836793,-1.0787978449774,64.9923841747803
IDN,2000,4.9200677470169,6.53199497269296,3.68862037056682,6.077,-2.75743993350903,-1.65421247091313,71.4368759173731
IDN,2001,3.64346644721492,6.8890593699167,11.5001160550887,6.082,-1.85568619300523,3.71998595702973,69.7932075256238
IDN,2002,4.49947539085764,7.25745833839691,11.9001200338414,6.604,0.0741516383181159,12.3224124961922,59.0794617663723
IDN,2003,4.78036912167654,8.12948626357009,6.75731256333564,6.657,-0.254256320381005,10.8520711478648,53.6164937473016
